,x1,x2,qT,QM,A,dA,A_rel_uncert
43,0.276021861,0.376021861,0.5,12.5,0.0646,0.00387,0.05990712074303405
44,0.276021861,0.376021861,0.7,12.5,0.0492,0.00263,0.053455284552845525
45,0.276021861,0.376021861,0.9,12.5,0.0417,0.00219,0.05251798561151079
46,0.276021861,0.376021861,1.1,12.5,0.0323,0.00176,0.0544891640866873
47,0.276021861,0.376021861,1.3,12.5,0.0247,0.00146,0.05910931174089069
48,0.276021861,0.376021861,1.5,12.5,0.0194,0.00119,0.061340206185567014
49,0.276021861,0.376021861,1.7,12.5,0.0137,0.000976,0.07124087591240875
50,0.276021861,0.376021861,1.9,12.5,0.00866,0.000731,0.08441108545034642
51,0.276021861,0.376021861,2.1,12.5,0.00679,0.000636,0.09366715758468334
52,0.276021861,0.376021861,2.3,12.5,0.0044,0.00055,0.125
53,0.276021861,0.376021861,2.5,12.5,0.00334,0.000483,0.14461077844311376
54,0.276021861,0.376021861,2.7,12.5,0.00262,0.00042,0.1603053435114504
55,0.276021861,0.376021861,2.9,12.5,0.00165,0.00033,0.2
56,0.276021861,0.376021861,3.1,12.5,0.0012,0.000284,0.2366666666666667
57,0.276021861,0.376021861,3.3,12.5,0.00111,0.000298,0.26846846846846845
58,0.276021861,0.376021861,3.5,12.5,0.000654,0.000243,0.37155963302752293
59,0.358995608,0.458995608,0.1,15.75,0.024,0.00546,0.22749999999999998
60,0.358995608,0.458995608,0.3,15.75,0.0206,0.0029,0.1407766990291262
61,0.358995608,0.458995608,0.5,15.75,0.0188,0.00213,0.11329787234042553
62,0.358995608,0.458995608,0.7,15.75,0.0171,0.00172,0.10058479532163742
63,0.358995608,0.458995608,0.9,15.75,0.00973,0.00116,0.11921891058581705
64,0.358995608,0.458995608,1.1,15.75,0.0107,0.00109,0.10186915887850469
65,0.358995608,0.458995608,1.3,15.75,0.00791,0.000879,0.11112515802781289
66,0.358995608,0.458995608,1.5,15.75,0.00605,0.000697,0.11520661157024795
67,0.358995608,0.458995608,1.7,15.75,0.0035,0.000509,0.14542857142857143
68,0.358995608,0.458995608,1.9,15.75,0.00194,0.000359,0.18505154639175256
69,0.358995608,0.458995608,2.1,15.75,0.002,0.000366,0.183
70,0.358995608,0.458995608,2.3,15.75,0.00136,0.000294,0.21617647058823528
71,0.358995608,0.458995608,2.5,15.75,0.00136,0.000288,0.21176470588235294
72,0.358995608,0.458995608,2.7,15.75,0.0006,0.000191,0.31833333333333336
73,0.358995608,0.458995608,2.9,15.75,0.000435,0.000166,0.3816091954022988
74,0.310513342,0.210513342,0.1,9.92,0.182,0.0114,0.06263736263736264
75,0.310513342,0.210513342,0.3,9.92,0.217,0.00846,0.038986175115207376
76,0.310513342,0.210513342,0.5,9.92,0.19,0.00637,0.03352631578947368
77,0.310513342,0.210513342,0.7,9.92,0.178,0.00528,0.029662921348314608
78,0.310513342,0.210513342,0.9,9.92,0.164,0.00463,0.028231707317073168
79,0.310513342,0.210513342,1.1,9.92,0.138,0.00403,0.029202898550724634
80,0.310513342,0.210513342,1.3,9.92,0.106,0.0034,0.03207547169811321
81,0.310513342,0.210513342,1.5,9.92,0.0909,0.00325,0.035753575357535754
82,0.310513342,0.210513342,1.7,9.92,0.0661,0.0028,0.04236006051437216
83,0.310513342,0.210513342,1.9,9.92,0.0591,0.00284,0.048054145516074454
84,0.310513342,0.210513342,2.1,9.92,0.0414,0.00249,0.060144927536231886
85,0.310513342,0.210513342,2.3,9.92,0.0309,0.00238,0.07702265372168285
86,0.310513342,0.210513342,2.5,9.92,0.0262,0.00254,0.09694656488549619
87,0.310513342,0.210513342,2.7,9.92,0.0182,0.00245,0.1346153846153846
88,0.310513342,0.210513342,2.9,9.92,0.00876,0.0018,0.2054794520547945
89,0.310513342,0.210513342,3.1,9.92,0.0134,0.0033,0.2462686567164179
90,0.310513342,0.210513342,3.3,9.92,0.004,0.00127,0.3175
91,0.310513342,0.210513342,3.5,9.92,0.00482,0.00201,0.41701244813278016
92,0.310513342,0.210513342,3.9,9.92,0.00247,0.00139,0.562753036437247
