,hadron,Q2,x,y,z,phT,Siv,tot_err,1D_dependence
39,pi0,2.55,0.099,0.537,0.483,0.45,0.034916066,0.006009368,z
40,pi0,2.55,0.099,0.537,0.483,0.45,0.034916066,0.006009368,z
41,pi0,2.57,0.102,0.517,0.557,0.469,0.03690161,0.009861617,z
42,pi0,2.59,0.106,0.496,0.645,0.483,0.055455703,0.017675668,z
43,pi0,2.61,0.112,0.472,0.728,0.494,0.048373222,0.033046864,z
44,pi0,2.66,0.116,0.457,0.796,0.488,0.050179325,0.040596917,z
45,pi0,2.56,0.121,0.418,0.908,0.478,0.051842276,0.03991095,z
46,pi0,2.82,0.114,0.481,0.338,0.111,0.01380557,0.010053563,phT
47,pi0,2.69,0.103,0.529,0.34,0.211,0.021114456,0.0038828792,phT
48,pi0,2.59,0.095,0.563,0.343,0.28,0.023733782,0.0024650304,phT
49,pi0,2.49,0.088,0.591,0.347,0.345,0.024044758,0.0023180807,phT
50,pi0,2.49,0.088,0.591,0.347,0.345,0.024044758,0.0023180807,phT
51,pi0,2.39,0.081,0.624,0.353,0.446,0.026439833,0.00335437,phT
52,pi0,2.3,0.074,0.652,0.371,0.595,0.033270426,0.006700205,phT
53,pi0,2.27,0.071,0.675,0.428,0.849,0.037182607,0.016823186,phT
54,pi-,1.29,0.036,0.704,0.33,0.481,0.0033901723,0.004753381,x
55,pi-,1.64,0.056,0.568,0.35,0.402,0.012637093,0.007183921,x
56,pi-,1.98,0.074,0.515,0.359,0.369,0.007122422,0.005149073,x
57,pi-,2.33,0.093,0.487,0.366,0.354,0.0073354472,0.0048959465,x
58,pi-,2.33,0.093,0.487,0.366,0.354,0.0073354472,0.0048959465,x
59,pi-,2.86,0.118,0.468,0.369,0.348,0.014671952,0.03606947,x
60,pi-,3.66,0.156,0.454,0.369,0.342,0.02206781,0.016084213,x
61,pi-,5.66,0.253,0.434,0.364,0.349,-0.018775692,0.05370346,x
62,pi-,2.39,0.084,0.598,0.229,0.35,0.0099802045,0.0022229776,z
63,pi-,2.38,0.091,0.559,0.289,0.379,0.01183148,0.003755798,z
64,pi-,2.36,0.094,0.536,0.348,0.403,0.0131300995,0.0040455973,z
65,pi-,2.37,0.097,0.521,0.413,0.422,0.0100038275,0.0048428853,z
66,pi-,2.35,0.098,0.509,0.483,0.437,-0.0032892425,0.0077254893,z
67,pi-,2.35,0.098,0.509,0.483,0.437,-0.0032892425,0.0077254893,z
68,pi-,2.31,0.098,0.498,0.558,0.449,-0.015045999,0.009684192,z
69,pi-,2.27,0.099,0.479,0.646,0.438,-0.023824153,0.012770193,z
70,pi-,2.19,0.099,0.452,0.729,0.416,-0.022225495,0.011750277,z
71,pi-,2.15,0.101,0.432,0.798,0.389,-0.028634643,0.016263865,z
72,pi-,2.08,0.104,0.399,0.906,0.338,0.0062681916,0.014815065,z
73,pi-,2.48,0.107,0.462,0.337,0.11,0.011598627,0.0054660845,phT
74,pi-,2.47,0.103,0.492,0.345,0.211,0.0142261945,0.0056472956,phT
75,pi-,2.43,0.098,0.52,0.35,0.28,0.012115582,0.003387122,phT
76,pi-,2.36,0.092,0.546,0.349,0.345,0.006484322,0.0051302747,phT
77,pi-,2.36,0.092,0.546,0.349,0.345,0.006484322,0.0051302747,phT
78,pi-,2.3,0.086,0.576,0.347,0.446,0.0050621135,0.005260089,phT
79,pi-,2.28,0.081,0.606,0.359,0.594,0.004540589,0.00654847,phT
80,pi-,2.26,0.076,0.643,0.409,0.846,0.002728522,0.011990134,phT
81,k+,1.29,0.036,0.704,0.363,0.527,0.032661404,0.02019584,x
82,k+,1.65,0.056,0.571,0.384,0.436,0.040149257,0.013184473,x
83,k+,2.01,0.074,0.524,0.392,0.398,0.03733038,0.008955048,x
84,k+,2.39,0.093,0.498,0.401,0.378,0.062737174,0.0063045635,x
85,k+,2.39,0.093,0.498,0.401,0.378,0.062737174,0.0063045635,x
86,k+,2.93,0.118,0.479,0.404,0.366,0.05091794,0.04254978,x
87,k+,3.79,0.157,0.468,0.408,0.358,0.072281204,0.0300777,x
88,k+,5.86,0.252,0.451,0.41,0.357,0.067885615,0.034698814,x
89,k+,2.46,0.085,0.603,0.228,0.351,0.041909233,0.006246755,z
90,k+,2.49,0.092,0.569,0.287,0.378,0.05641506,0.0073798634,z
91,k+,2.53,0.097,0.548,0.347,0.403,0.07206036,0.0073572057,z
92,k+,2.56,0.101,0.532,0.412,0.425,0.07831037,0.013943535,z
93,k+,2.55,0.102,0.522,0.482,0.458,0.09320942,0.01671625,z
94,k+,2.55,0.102,0.522,0.482,0.458,0.09320942,0.01671625,z
95,k+,2.54,0.104,0.515,0.556,0.484,0.095425904,0.018959261,z
96,k+,2.61,0.108,0.5,0.645,0.506,0.085016504,0.020144189,z
97,k+,2.63,0.112,0.474,0.727,0.506,0.09938129,0.036906954,z
98,k+,2.62,0.116,0.448,0.796,0.501,0.11167153,0.058562823,z
99,k+,2.47,0.119,0.411,0.903,0.469,0.101743534,0.08753421,z
100,k+,2.68,0.113,0.468,0.362,0.111,0.020625828,0.012455757,phT
101,k+,2.66,0.109,0.495,0.372,0.211,0.03863858,0.017880628,phT
102,k+,2.66,0.106,0.517,0.377,0.28,0.060914155,0.016565043,phT
103,k+,2.56,0.099,0.54,0.381,0.345,0.064308934,0.008439118,phT
104,k+,2.56,0.099,0.54,0.381,0.345,0.064308934,0.008439118,phT
105,k+,2.49,0.093,0.565,0.387,0.447,0.07546339,0.0076804296,phT
106,k+,2.41,0.087,0.593,0.402,0.597,0.09205352,0.011487674,phT
107,k+,2.29,0.076,0.642,0.451,0.867,0.09921809,0.014296166,phT
108,k-,1.3,0.036,0.711,0.338,0.503,-0.008447748,0.03754541,x
109,k-,1.67,0.056,0.578,0.355,0.417,0.044368006,0.05822786,x
110,k-,2.04,0.074,0.533,0.361,0.381,0.035410337,0.03409925,x
111,k-,2.44,0.093,0.51,0.367,0.367,0.026242577,0.023127358,x
112,k-,2.44,0.093,0.51,0.367,0.367,0.026242577,0.023127358,x
113,k-,3.01,0.118,0.493,0.366,0.362,-0.013176206,1.2687423,x
114,k-,3.89,0.157,0.48,0.365,0.356,0.038726903,0.08212106,x
115,k-,5.82,0.251,0.451,0.363,0.364,0.013319005,0.29641578,x
116,k-,2.41,0.082,0.616,0.227,0.362,0.016794812,0.0037818148,z
117,k-,2.41,0.087,0.582,0.287,0.389,0.024607375,0.0038494952,z
118,k-,2.4,0.091,0.557,0.347,0.419,0.009433508,0.024729507,z
119,k-,2.37,0.092,0.542,0.411,0.44,0.040944915,0.005859474,z
120,k-,2.29,0.091,0.534,0.482,0.46,0.039956424,0.004773606,z
121,k-,2.29,0.091,0.534,0.482,0.46,0.039956424,0.004773606,z
122,k-,2.34,0.093,0.531,0.556,0.465,0.04389889,0.004865906,z
123,k-,2.33,0.094,0.52,0.642,0.493,0.047535367,0.0053920164,z
124,k-,2.28,0.093,0.506,0.726,0.5,0.045023747,0.0050748484,z
125,k-,2.3,0.096,0.482,0.793,0.464,0.04346507,0.005690108,z
126,k-,2.47,0.103,0.477,0.337,0.111,0.015099032,0.029126994,phT
127,k-,2.48,0.1,0.513,0.346,0.21,0.060607582,0.049655203,phT
128,k-,2.48,0.096,0.54,0.346,0.28,0.015190591,0.031055525,phT
129,k-,2.39,0.089,0.566,0.351,0.345,0.02512206,0.02709739,phT
130,k-,2.39,0.089,0.566,0.351,0.345,0.02512206,0.02709739,phT
131,k-,2.32,0.084,0.592,0.348,0.447,-0.06766725,0.40726998,phT
132,k-,2.31,0.08,0.62,0.358,0.597,0.023061262,0.027665894,phT
133,k-,2.26,0.073,0.661,0.409,0.856,0.06594099,0.028074125,phT
