,kperp,fu,fuErr,fubar,fubarErr,fd,fdErr,fdbar,fdbarErr,fs,fsErr,fsbar,fsbarErr
101,1.01,0.04737634392527262,0.014626578653026166,0.02487813940549477,0.011051873030654878,-0.11972405349123263,0.040311559181576084,-0.11346149813672808,0.05438832961533625,-0.01733112778839049,0.009588766020499481,-0.017799172031247666,0.013217341644648675
102,1.02,0.04615034522772324,0.014248102844902482,0.02423434501707226,0.010765888385083886,-0.11662584050773686,0.039268445890018835,-0.11052536101689989,0.052980924706492814,-0.01688263792940891,0.009340651438423534,-0.017338574548960404,0.012875312341756638
103,1.03,0.044935779696109304,0.013873155601051602,0.02359655443454363,0.01048257024375826,-0.1135565205334972,0.03823505814387492,-0.1076166049726753,0.05158664307682071,-0.01643833041174398,0.009094849927473461,-0.016882272172063045,0.012536472424841301
104,1.04,0.043733509746001244,0.013502003176042885,0.022965220527252514,0.01020211978952229,-0.11051827296584467,0.03721212975428754,-0.1047372954012386,0.05020647478371134,-0.015998520722780712,0.008851536037223731,-0.016430588908093756,0.012201062495783946
105,1.05,0.042544349640343954,0.013134896960696724,0.022340770878657816,0.009924726973493657,-0.10751315551546149,0.03620035356584529,-0.10188938237954137,0.04884135460928369,-0.015563506735038903,0.00861087457330336,-0.015983830674393008,0.011869309723183842
106,1.06,0.04136906580805738,0.012772073580349975,0.021723607953640728,0.00965057058933733,-0.10454310501154634,0.035200381727457285,-0.09907470142730398,0.04749216242597599,-0.015133568822713285,0.00837302066180152,-0.015542285417775678,0.011541427931218816
107,1.07,0.04020837725117695,0.012413755020453443,0.021114109312305587,0.009379818368192398,-0.10160993843072966,0.03421282603855808,-0.09629497448205863,0.04615972366377662,-0.014708970010602751,0.008138119831590964,-0.015106223267466848,0.011217617713206349
108,1.08,0.03906295603631163,0.012060148778198335,0.020512627868057458,0.009112627093267127,-0.09871535413906618,0.0332382583670513,-0.09355181107612556,0.044844809874247896,-0.014289956153884379,0.007906308113715144,-0.014675896719714837,0.010898066568687588
109,1.09,0.03793342786611886,0.011711448038844304,0.01991949218769816,0.008849142733099198,-0.09586093333623777,0.03227721113533312,-0.09084670970521988,0.04354813938640574,-0.013876756147158845,0.007677712156968763,-0.014251540852465943,0.010582949062834336
110,1.1,0.03682037272643014,0.011367831875401472,0.01933500683124774,0.008589500592462754,-0.09304814169093369,0.0313301778706816,-0.08818105937823538,0.0422703780494441,-0.013469582161170078,0.007452449358788485,-0.013833373568460414,0.010272427006961113
111,1.11,0.03572432560461314,0.011029465470304124,0.01875945272917362,0.008333825479892776,-0.09027833115625059,0.03039761381625683,-0.0855561413376306,0.04101214005723681,-0.01306862990558442,0.007230628010560639,-0.013421595865091708,0.00996664965891091
112,1.12,0.03464577727472463,0.010696500357703798,0.018193087594692747,0.008082231890789804,-0.08755274195387946,0.029479936598929748,-0.08297313093977322,0.03977398884951407,-0.012674078916203034,0.0070123474564464956,-0.013016392129358498,0.009665753942074343
113,1.13,0.03358517514499017,0.010369074685003993,0.017636146368802494,0.007834824205063878,-0.0848725047157979,0.028577526950142238,-0.0804330996845498,0.03855643808458923,-0.01228609286497446,0.006797698264821784,-0.012617930456232714,0.009369864681796958
114,1.14,0.03254292416314405,0.010047313492258077,0.017088841695695328,0.007591696898276028,-0.08223864277218039,0.027690729475999057,-0.07793701738354579,0.03735995267850944,-0.011904819891173694,0.006586762411426944,-0.01222636298876558,0.009079094857928835
115,1.15,0.03151938777517599,0.00973132900805539,0.016551364426217952,0.007352934765238347,-0.07965207457427062,0.026819853472802517,-0.07548575445612828,0.0361849499055171,-0.011530392952118124,0.006379613473326699,-0.01184182627825824,0.008793545872273718
116,1.16,0.030514888933053392,0.009421220960528285,0.016023884147048383,0.00711861315503933,-0.0771136162410207,0.025965173784260505,-0.07308008434282057,0.03503180055473673,-0.011162930191800056,0.006176316832782674,-0.011464441662832853,0.008513307829701946
117,1.17,0.029529711147028157,0.00911707690212452,0.015506549733285326,0.006888798216470238,-0.07462398421839811,0.02512693169663254,-0.0707206860254535,0.03390083013804632,-0.010802535325828913,0.005976929890150413,-0.011094315662754066,0.008238459831702004
118,1.18,0.028564099578186685,0.008818972546804991,0.014999489922169654,0.006663547152839864,-0.07218379804039005,0.024305335868119952,-0.06840814664369323,0.03279232014414964,-0.01044929804109538,0.005781502284922348,-0.010731540390870084,0.007969070281159587
119,1.19,0.02761826216696236,0.008526972118345622,0.01450281390569047,0.006442908485179244,-0.06979358318088784,0.023500563288859234,-0.06614296419769757,0.03170650933393621,-0.01010329440859137,0.0055900761240506355,-0.010376193976565177,0.007705197197170104
120,1.2,0.02669237079340421,0.008241128708444947,0.014016611939866874,0.006226922322855282,-0.06745377398582181,0.022712760267939336,-0.06392555032682423,0.030643595072300064,-0.0097645873078472,0.005402686216698681,-0.010028341001643334,0.007446888538711097
121,1.21,0.025786562465077028,0.00796148464336425,0.01354095596853906,0.006015620640631084,-0.06516471667512061,0.02194204344393433,-0.06175623315451453,0.02960373469168269,-0.009433226861476999,0.005219360314586675,-0.009688032946593478,0.007194182536023884
122,1.22,0.02490094052856095,0.007688071857855782,0.01307590025955242,0.005809027561232716,-0.06292667240431041,0.021188500815521285,-0.059635260189695574,0.028587046882712103,-0.009109250878357563,0.005040119357115415,-0.009355308645721596,0.006947108028579792
123,1.23,0.024035575900620946,0.007420912275165854,0.012621482051269872,0.005607159642505563,-0.06073982037581802,0.02045219278883958,-0.0575628012752898,0.02759361310742655,-0.008792685304002928,0.00486497772047304,-0.009030194749673327,0.006705684808534423
124,1.24,0.023190508315223603,0.007160018191933157,0.012177722207406228,0.005410026168268951,-0.058604260990322364,0.019733153238340448,-0.05553895157467835,0.02662347903069558,-0.008483544676736498,0.004693943469951353,-0.008712706193911077,0.006469923968603905
125,1.25,0.022365747582697763,0.006905392666838914,0.011744625878239235,0.005217629442004935,-0.05652001902879268,0.01903139057797541,-0.05356373458724774,0.025676655965586836,-0.008181832588305975,0.004527018614722218,-0.008402846671754323,0.0062398282533297185
126,1.26,0.02156127485745771,0.006657029911903382,0.011322183166316733,0.005029965082546076,-0.054487046856164255,0.01834688883967658,-0.051637105184443186,0.02475312232856745,-0.007887542147630797,0.004364199364349285,-0.008100609110637468,0.006015392412733085
