,hadron,Q2,x,y,z,phT,Siv,tot_err,1D_dependence
58,pi-,2.33,0.093,0.487,0.366,0.354,0.4489322531843813,0.008736704,x
59,pi-,2.86,0.118,0.468,0.369,0.348,0.5456553233943352,0.009027181,x
60,pi-,3.66,0.156,0.454,0.369,0.342,0.6760340814843139,0.009166242,x
61,pi-,5.66,0.253,0.434,0.364,0.349,0.9849826506154947,0.011081967,x
62,pi-,2.39,0.084,0.598,0.229,0.35,0.2730070656403642,0.00659242,z
63,pi-,2.38,0.091,0.559,0.289,0.379,0.39725429617676433,0.008381527,z
64,pi-,2.36,0.094,0.536,0.348,0.403,0.5129489871039076,0.009091755,z
65,pi-,2.37,0.097,0.521,0.413,0.422,0.6292302234223555,0.011759252,z
66,pi-,2.35,0.098,0.509,0.483,0.437,0.7209842344452347,0.014035669,z
67,pi-,2.35,0.098,0.509,0.483,0.437,0.7209842344452347,0.014035669,z
68,pi-,2.31,0.098,0.498,0.558,0.449,0.7837230305147472,0.016414628,z
69,pi-,2.27,0.099,0.479,0.646,0.438,0.7783292166433196,0.019524344,z
70,pi-,2.19,0.099,0.452,0.729,0.416,0.7225215296647736,0.023210558,z
71,pi-,2.15,0.101,0.432,0.798,0.389,0.6649800947051923,0.027815284,z
72,pi-,2.08,0.104,0.399,0.906,0.338,0.5565244461800498,0.029516944,z
73,pi-,2.48,0.107,0.462,0.337,0.11,0.13612530359694533,0.008570298,phT
74,pi-,2.47,0.103,0.492,0.345,0.211,0.2632958209099593,0.009304837,phT
75,pi-,2.43,0.098,0.52,0.35,0.28,0.3470169589903783,0.010742439,phT
76,pi-,2.36,0.092,0.546,0.349,0.345,0.41675171866062916,0.009613532,phT
77,pi-,2.36,0.092,0.546,0.349,0.345,0.41675171866062916,0.009613532,phT
78,pi-,2.3,0.086,0.576,0.347,0.446,0.5384451168388599,0.006935416,phT
79,pi-,2.28,0.081,0.606,0.359,0.594,0.7915481652568809,0.009228218,phT
80,pi-,2.26,0.076,0.643,0.409,0.846,1.6218330176734286,0.0109252,phT
81,k+,1.29,0.036,0.704,0.363,0.527,0.3103923374536763,0.02832137,x
82,k+,1.65,0.056,0.571,0.384,0.436,0.3784209311932619,0.024942534,x
83,k+,2.01,0.074,0.524,0.392,0.398,0.44164232769764555,0.02804015,x
84,k+,2.39,0.093,0.498,0.401,0.378,0.516711707698385,0.022138202,x
85,k+,2.39,0.093,0.498,0.401,0.378,0.516711707698385,0.022138202,x
86,k+,2.93,0.118,0.479,0.404,0.366,0.6152545912730399,0.021600231,x
87,k+,3.79,0.157,0.468,0.408,0.358,0.7658997543787788,0.019670282,x
88,k+,5.86,0.252,0.451,0.41,0.357,1.0902156230963669,0.021060864,x
89,k+,2.46,0.085,0.603,0.228,0.351,0.27571231603800106,0.017110523,z
90,k+,2.49,0.092,0.569,0.287,0.378,0.3975199379805461,0.017637744,z
91,k+,2.53,0.097,0.548,0.347,0.403,0.5264216872709444,0.020341583,z
92,k+,2.56,0.101,0.532,0.412,0.425,0.6574430338603092,0.020392401,z
93,k+,2.55,0.102,0.522,0.482,0.458,0.7961308599739166,0.02009602,z
94,k+,2.55,0.102,0.522,0.482,0.458,0.7961308599739166,0.02009602,z
95,k+,2.54,0.104,0.515,0.556,0.484,0.9172944584096993,0.021414948,z
96,k+,2.61,0.108,0.5,0.645,0.506,1.0281312377795575,0.023525518,z
97,k+,2.63,0.112,0.474,0.727,0.506,1.0503444902229528,0.035631587,z
98,k+,2.62,0.116,0.448,0.796,0.501,1.0458603586610424,0.03672397,z
99,k+,2.47,0.119,0.411,0.903,0.469,0.9359517177437209,0.041538055,z
100,k+,2.68,0.113,0.468,0.362,0.111,0.15111229796041525,0.024407581,phT
101,k+,2.66,0.109,0.495,0.372,0.211,0.29095933526169543,0.026335148,phT
102,k+,2.66,0.106,0.517,0.377,0.28,0.3910668756983368,0.025358431,phT
103,k+,2.56,0.099,0.54,0.381,0.345,0.47281618741281506,0.021702074,phT
104,k+,2.56,0.099,0.54,0.381,0.345,0.47281618741281506,0.021702074,phT
105,k+,2.49,0.093,0.565,0.387,0.447,0.6275774135231397,0.016497576,phT
106,k+,2.41,0.087,0.593,0.402,0.597,0.9292371818386925,0.022910696,phT
107,k+,2.29,0.076,0.642,0.451,0.867,1.8446043211760066,0.019251234,phT
108,k-,1.3,0.036,0.711,0.338,0.503,0.27408640693385644,0.029106185,x
109,k-,1.67,0.056,0.578,0.355,0.417,0.337559902190467,0.027266096,x
110,k-,2.04,0.074,0.533,0.361,0.381,0.3952195644166459,0.034808332,x
111,k-,2.44,0.093,0.51,0.367,0.367,0.4699763340619656,0.030245165,x
112,k-,2.44,0.093,0.51,0.367,0.367,0.4699763340619656,0.030245165,x
113,k-,3.01,0.118,0.493,0.366,0.362,0.5691531049278147,0.033106193,x
114,k-,3.89,0.157,0.48,0.365,0.356,0.7078748697550317,0.034532304,x
115,k-,5.82,0.251,0.451,0.363,0.364,1.0290953680243373,0.049004592,x
116,k-,2.41,0.082,0.616,0.227,0.362,0.27519250712022664,0.022692069,z
117,k-,2.41,0.087,0.582,0.287,0.389,0.39122691252934044,0.023749737,z
118,k-,2.4,0.091,0.557,0.347,0.419,0.5223928603812564,0.026084862,z
119,k-,2.37,0.092,0.542,0.411,0.44,0.632554072880052,0.028584786,z
120,k-,2.29,0.091,0.534,0.482,0.46,0.7233504760799098,0.033593154,z
121,k-,2.29,0.091,0.534,0.482,0.46,0.7233504760799098,0.033593154,z
122,k-,2.34,0.093,0.531,0.556,0.465,0.784481537749941,0.043291685,z
123,k-,2.33,0.094,0.52,0.642,0.493,0.8753515228757822,0.05328649,z
124,k-,2.28,0.093,0.506,0.726,0.5,0.8760486937524824,0.089304199,z
125,k-,2.3,0.096,0.482,0.793,0.464,0.7980696153971801,0.138790814,z
126,k-,2.47,0.103,0.477,0.337,0.111,0.1328431972428509,0.034169577,phT
127,k-,2.48,0.1,0.513,0.346,0.21,0.25568932718016324,0.034489564,phT
128,k-,2.48,0.096,0.54,0.346,0.28,0.3379419823720039,0.037363083,phT
129,k-,2.39,0.089,0.566,0.351,0.345,0.4061709118602153,0.033934643,phT
130,k-,2.39,0.089,0.566,0.351,0.345,0.4061709118602153,0.033934643,phT
131,k-,2.32,0.084,0.592,0.348,0.447,0.529820501713455,0.024339269,phT
132,k-,2.31,0.08,0.62,0.358,0.597,0.7870617516641533,0.02782984,phT
133,k-,2.26,0.073,0.661,0.409,0.856,1.6054656250735886,0.031161675,phT
