,x,y,z,phT,Q2,Asym,dAsym,hadron,1D_dependence
34,0.08510638,0.132142857,0.395652174,0.577952756,2.275862069,1.0637560264049153,0.023584906,pi-,phT
35,0.07446809,0.142857143,0.452173913,0.8,2.172413793,1.2462274413928986,0.032075472,pi-,phT
36,0.018061622,0.461176471,0.404255319,0.41369863,1.379310345,0.5412504826508042,0.019354839,k+,x
37,0.120526094,0.432941176,0.408510638,0.397260274,2.379310345,0.6507770960957534,0.014516129,k+,x
38,0.91087642,0.437647059,0.408510638,0.347945205,4.413793103,0.020795781305341408,0.019354839,k+,x
39,0.095744681,0.371621622,0.417021277,0.389041096,1.862068966,0.7477346486035636,0.020967742,k+,y
40,0.091489362,0.517567568,0.408510638,0.405479452,2.482758621,0.5978560650768926,0.017741935,k+,y
41,0.082978723,0.647297297,0.370212766,0.421917808,2.862068966,0.4834713957453295,0.043548387,k+,y
42,0.091489362,0.456470588,0.348091603,0.380821918,2.206896552,0.6353173422400927,0.014516129,k+,z
43,0.095744681,0.437647059,0.447328244,0.41369863,2.172413793,0.6967348101023331,0.020967742,k+,z
44,0.093617021,0.414117647,0.548091603,0.421917808,2.034482759,0.7377893962312188,0.022580645,k+,z
45,0.10212766,0.432941176,0.395744681,0.275294118,2.310344828,0.4794196680735221,0.017741935,k+,phT
46,0.093617021,0.442352941,0.408510638,0.421176471,2.206896552,0.6982452817112456,0.016129032,k+,phT
47,0.080851064,0.461176471,0.421276596,0.585882353,2.0,0.8964206241486069,0.020967742,k+,phT
48,0.01750827,0.461176471,0.404255319,0.41369863,1.379310345,0.39805464990183875,0.025806452,k-,x
49,0.116833549,0.432941176,0.408510638,0.397260274,2.379310345,0.6028976337860792,0.022580645,k-,x
50,0.882969996,0.437647059,0.408510638,0.347945205,4.413793103,0.06167399235807118,0.069354839,k-,x
51,0.095744681,0.375757576,0.417021277,0.389041096,1.862068966,0.7165991606508006,0.037096774,k-,y
52,0.091489362,0.517171717,0.408510638,0.405479452,2.482758621,0.571793639468053,0.029032258,k-,y
53,0.082978723,0.646464646,0.370212766,0.421917808,2.862068966,0.4608923604243321,0.043548387,k-,y
54,0.091489362,0.45647059,0.346564885,0.380821918,2.206896552,0.6034047314190232,0.027419355,k-,z
55,0.095744681,0.43764706,0.445801527,0.41369863,2.172413793,0.6702912499213288,0.027419355,k-,z
56,0.093617021,0.41411765,0.546564885,0.421917808,2.034482759,0.7311574778244473,0.04516129,k-,z
57,0.10212766,0.432941176,0.395744681,0.277647059,2.310344828,0.45716465949554924,0.024193548,k-,phT
58,0.093617021,0.442352941,0.408510638,0.421176471,2.206896552,0.6680744787443376,0.030645161,k-,phT
59,0.080851064,0.461176471,0.421276596,0.588235294,2.0,0.8649663961369487,0.040322581,k-,phT
