,hadron,1D_dependence,x,z,phT,QQ,sbar,ubar,dbar,d,u,s
62,k+,x,0.0163,0.391,0.58,1.83,0.07684764495921724,0.174447153515734,0.19339757767807245,0.3058456461507519,0.3614061208304494,0.07684764495921724
63,k+,x,0.0255,0.433,0.57,2.45,0.0885106407210633,0.17930171974022024,0.20498848457708935,0.35548490748858624,0.432195313517424,0.0885106407210633
64,k+,x,0.0399,0.458,0.57,3.56,0.08998753279136792,0.1705113111145137,0.20232325953395935,0.3984707264709505,0.5087324131375721,0.08998753279136792
65,k+,x,0.0629,0.463,0.57,5.48,0.07876173307149534,0.1428258945476174,0.17971924178793305,0.42492968099229406,0.5843766829213869,0.07876173307149534
66,k+,x,0.1009,0.468,0.57,8.54,0.05699142699653756,0.09671560608356722,0.13779590273082612,0.4238494665655799,0.6464186048177637,0.05699142699653756
67,k+,x,0.1623,0.473,0.57,13.6,0.03195886697791627,0.04932347297321173,0.08134450204065687,0.37251037389946007,0.6630405001005973,0.03195886697791627
68,k+,x,0.2959,0.468,0.61,26.24,0.008336633264586288,0.01503073158880992,0.01621531836699865,0.2107498598751438,0.5115453711926014,0.008336633264586288
69,k+,phT,0.0455,0.41,0.15,4.15,0.08865943976003945,0.16498579140811448,0.198347990151797,0.40902791148989404,0.5324096007637046,0.08865943976003945
70,k+,phT,0.0467,0.405,0.25,4.26,0.08814494936341304,0.16359754242691682,0.19725365448408483,0.4107734863396304,0.5368436307610941,0.08814494936341304
71,k+,phT,0.0465,0.404,0.35,4.24,0.08822528922559457,0.16382561284252523,0.197433518838188,0.4104814354138959,0.5360993730582788,0.08822528922559457
72,k+,phT,0.0463,0.408,0.45,4.21,0.08825850976857673,0.16402037420563376,0.19757897035179287,0.41013294203382433,0.5352652998352384,0.08825850976857673
73,k+,phT,0.046,0.415,0.55,4.19,0.08842159252983282,0.16439160738344813,0.19787742517798299,0.40973697267351766,0.5342218304184178,0.08842159252983282
74,k+,phT,0.0459,0.425,0.67,4.16,0.08836537054072045,0.1644371335040211,0.19789665004922008,0.409475908338981,0.5336672781029197,0.08836537054072045
75,k+,phT,0.046,0.437,0.82,4.18,0.08837462937989359,0.16435846354052536,0.19784349444710278,0.4096826239866191,0.5341344119613964,0.08837462937989359
76,k+,phT,0.046,0.448,1.06,4.3,0.08892767788774243,0.16474847655912606,0.19824267627216335,0.4103220088169571,0.5351636377819565,0.08892767788774243
77,k+,phT,0.0459,0.438,1.59,4.81,0.09114615725838508,0.16639549156415231,0.19989963120839827,0.412681360834413,0.5388347100843702,0.09114615725838508
78,k-,x,0.0065,0.296,0.64,1.24,0.05222768189600567,0.15099754654811368,0.15907512046955818,0.2154909810295249,0.24621516470690044,0.05222768189600567
79,k-,x,0.0105,0.341,0.59,1.49,0.06353395020350562,0.16453083749173442,0.17759797831513438,0.26031250931246747,0.30237451747745797,0.06353395020350562
80,k-,x,0.0163,0.375,0.57,1.88,0.07864812483092636,0.17612927521789737,0.19514305816505836,0.30800784237428236,0.36388234382720797,0.07864812483092636
81,k-,x,0.0253,0.405,0.56,2.57,0.0908023503720761,0.18146787443469947,0.20712293524495642,0.35763105628830466,0.4345989441222884,0.0908023503720761
82,k-,x,0.0398,0.42,0.56,3.83,0.091887962977247,0.17205866680887136,0.20388722587986016,0.4005365959174781,0.5116294390629766,0.091887962977247
83,k-,x,0.0626,0.418,0.56,5.91,0.07980312949384595,0.1436136660633998,0.1804265900795448,0.42546740838464536,0.585320222868635,0.07980312949384595
84,k-,x,0.1002,0.418,0.56,9.32,0.0576197729307379,0.09730623784109864,0.13815367445755508,0.4233158089142241,0.6456019287300135,0.0576197729307379
85,k-,x,0.1613,0.411,0.56,15.09,0.032245852719003605,0.04960422408354442,0.08145516967674062,0.37127261551151763,0.6606987501537163,0.032245852719003605
86,k-,x,0.2984,0.4,0.61,29.47,0.008086747499552372,0.014615235169000325,0.0154541187910503,0.2057034147147079,0.5028594906872533,0.008086747499552372
87,k-,z,0.0292,0.225,0.55,4.12,0.1049296911558576,0.19103861695315533,0.21918822757724862,0.38782442630688846,0.4785660784084813,0.1049296911558576
88,k-,z,0.0323,0.274,0.56,3.97,0.10021448139234257,0.1846394968929795,0.21401384329458573,0.39127612197227274,0.4878468506090649,0.10021448139234257
89,k-,z,0.035,0.324,0.57,3.85,0.09653780415114005,0.17951890507375073,0.209842646178189,0.39422144302266077,0.4958262630973631,0.09653780415114005
90,k-,z,0.0372,0.374,0.58,3.69,0.0932889467287415,0.17520003466366513,0.206218141347916,0.39594009411712394,0.5013603461005129,0.0932889467287415
91,k-,z,0.0397,0.446,0.58,3.45,0.08935456511379268,0.17017497892026187,0.20190834506260927,0.3972305916451288,0.5066475449631603,0.08935456511379268
92,k-,z,0.0428,0.564,0.58,3.14,0.08459095942709974,0.16417501378604651,0.19671556071511515,0.3985394858801916,0.5126128852303097,0.08459095942709974
93,k-,z,0.0462,0.712,0.62,3.04,0.08146693393211739,0.15927853141215173,0.19268325661566604,0.4019827028860187,0.522112525776029,0.08146693393211739
94,k-,z,0.0459,0.869,0.56,2.92,0.08073342372895168,0.15898039075833434,0.19228984923602724,0.40049909610824447,0.5194147647929405,0.08073342372895168
95,k-,phT,0.0364,0.394,0.15,3.55,0.09295432424786922,0.1755456542170399,0.20627566586751317,0.39349740420367096,0.49679245167421265,0.09295432424786922
96,k-,phT,0.0371,0.381,0.25,3.68,0.09330732434421382,0.1752920737502472,0.20627632776000984,0.39571112831813565,0.5008951513697034,0.09330732434421382
97,k-,phT,0.0367,0.376,0.35,3.67,0.09359921772646022,0.17583403001237385,0.2066875828663549,0.39505487597497807,0.4994058943074357,0.09359921772646022
98,k-,phT,0.0364,0.375,0.45,3.66,0.09379979112008577,0.17622557421048562,0.20697927526986049,0.3945328374399342,0.49824939575915395,0.09379979112008577
99,k-,phT,0.0363,0.376,0.55,3.68,0.09404192511523574,0.17649705935488752,0.20722211429887918,0.39457192796211726,0.4981641065578388,0.09404192511523574
100,k-,phT,0.0361,0.382,0.67,3.67,0.09415193122438985,0.17673910697267586,0.20739605435097536,0.394190016097897,0.49734663362723325,0.09415193122438985
101,k-,phT,0.0359,0.39,0.82,3.69,0.09448888255447072,0.17716432955453457,0.20775903500629914,0.3940831968435446,0.49691546085557436,0.09448888255447072
102,k-,phT,0.0356,0.398,1.06,3.75,0.09522082312253902,0.17798672801165472,0.20849356852572817,0.39419531165252103,0.49664773345356056,0.09522082312253902
103,k-,phT,0.0349,0.402,1.59,4.03,0.09790754397599861,0.18071188756431014,0.21103721279183676,0.3956304509244926,0.49763626500507707,0.09790754397599861
