PT,PT_Low,PT_High,CS/A_cm2,error_cm2,CS/A_pb,CS,error,"sys,Normalisation error","sys,Point-to-point systematic error",y,QM,QM_Low,QM_High,SqrtS,xF,P NUCLEUS --> MU+ MU- X
1.3,1.2,1.4,12.8,1,0.0128,0.0128,0.001,,,0.03,10.5,10,11,400,0.001575236,
1.5,1.4,1.6,8.2,0.8,0.0082,0.0082,0.0008,,,0.03,10.5,10,11,400,0.001575236,
1.7,1.6,1.8,6,0.6,0.006,0.006,0.0006,,,0.03,10.5,10,11,400,0.001575236,
1.9,1.8,2,4.8,0.6,0.0048,0.0048,0.0006,,,0.03,10.5,10,11,400,0.001575236,
2.1,2,2.2,3.2,0.5,0.0032,0.0032,0.0005,,,0.03,10.5,10,11,400,0.001575236,
2.3,2.2,2.4,2.5,0.4,0.0025,0.0025,0.0004,,,0.03,10.5,10,11,400,0.001575236,
2.5,2.4,2.6,1.4,0.3,0.0014,0.0014,0.0003,,,0.03,10.5,10,11,400,0.001575236,
2.7,2.6,2.8,1,0.3,0.001,0.001,0.0003,,,0.03,10.5,10,11,400,0.001575236,
2.9,2.8,3,1,0.3,0.001,0.001,0.0003,,,0.03,10.5,10,11,400,0.001575236,
3.1,3,3.2,0.28,0.14,0.00028,0.00028,0.00014,,,0.03,10.5,10,11,400,0.001575236,
3.3,3.2,3.4,0.58,0.22,0.00058,0.00058,0.00022,,,0.03,10.5,10,11,400,0.001575236,
3.5,3.4,3.6,0.35,0.16,0.00035,0.00035,0.00016,,,0.03,10.5,10,11,400,0.001575236,
3.7,3.6,3.8,0.06,0.06,0.00006,0.00006,0.00006,,,0.03,10.5,10,11,400,0.001575236,
4.1,4,4.2,0.08,0.08,0.00008,0.00008,0.00008,,,0.03,10.5,10,11,400,0.001575236,
4.3,4.2,4.4,0.16,0.16,0.00016,0.00016,0.00016,,,0.03,10.5,10,11,400,0.001575236,
4.5,4.4,4.6,0.07,0.07,0.00007,0.00007,0.00007,,,0.03,10.5,10,11,400,0.001575236,
0.1,0,0.2,9.93,2.14,0.00993,0.00993,0.00214,,,0.03,11.5,11,12,400,0.001725259,
0.3,0.2,0.4,6.99,0.97,0.00699,0.00699,0.00097,,,0.03,11.5,11,12,400,0.001725259,
0.5,0.4,0.6,7.53,0.86,0.00753,0.00753,0.00086,,,0.03,11.5,11,12,400,0.001725259,
0.7,0.6,0.8,5.09,0.6,0.00509,0.00509,0.0006,,,0.03,11.5,11,12,400,0.001725259,
0.9,0.8,1,3.77,0.47,0.00377,0.00377,0.00047,,,0.03,11.5,11,12,400,0.001725259,
1.1,1,1.2,3.34,0.43,0.00334,0.00334,0.00043,,,0.03,11.5,11,12,400,0.001725259,
1.3,1.2,1.4,2.89,0.4,0.00289,0.00289,0.0004,,,0.03,11.5,11,12,400,0.001725259,
1.5,1.4,1.6,2.31,0.37,0.00231,0.00231,0.00037,,,0.03,11.5,11,12,400,0.001725259,
1.7,1.6,1.8,1.2,0.25,0.0012,0.0012,0.00025,,,0.03,11.5,11,12,400,0.001725259,
1.9,1.8,2,0.91,0.22,0.00091,0.00091,0.00022,,,0.03,11.5,11,12,400,0.001725259,
