,hadron,Q2,x,z,phT,1D_dependence
242,pi0,2.96875,0.12636363636363637,0.366375,0.370625,x
243,pi0,2.96875,0.12851515151515153,0.366375,0.370625,x
244,pi0,2.96875,0.13066666666666668,0.366375,0.370625,x
245,pi0,2.96875,0.13281818181818184,0.366375,0.370625,x
246,pi0,2.96875,0.13496969696969696,0.366375,0.370625,x
247,pi0,2.96875,0.13712121212121212,0.366375,0.370625,x
248,pi0,2.96875,0.13927272727272727,0.366375,0.370625,x
249,pi0,2.96875,0.14142424242424242,0.366375,0.370625,x
250,pi0,2.96875,0.14357575757575758,0.366375,0.370625,x
251,pi0,2.96875,0.14572727272727273,0.366375,0.370625,x
252,pi0,2.96875,0.1478787878787879,0.366375,0.370625,x
253,pi0,2.96875,0.15003030303030304,0.366375,0.370625,x
254,pi0,2.96875,0.1521818181818182,0.366375,0.370625,x
255,pi0,2.96875,0.15433333333333335,0.366375,0.370625,x
256,pi0,2.96875,0.1564848484848485,0.366375,0.370625,x
257,pi0,2.96875,0.15863636363636363,0.366375,0.370625,x
258,pi0,2.96875,0.16078787878787879,0.366375,0.370625,x
259,pi0,2.96875,0.16293939393939394,0.366375,0.370625,x
260,pi0,2.96875,0.1650909090909091,0.366375,0.370625,x
261,pi0,2.96875,0.16724242424242425,0.366375,0.370625,x
262,pi0,2.96875,0.1693939393939394,0.366375,0.370625,x
263,pi0,2.96875,0.17154545454545456,0.366375,0.370625,x
264,pi0,2.96875,0.1736969696969697,0.366375,0.370625,x
265,pi0,2.96875,0.17584848484848487,0.366375,0.370625,x
266,pi0,2.96875,0.17800000000000002,0.366375,0.370625,x
267,pi0,2.96875,0.18015151515151517,0.366375,0.370625,x
268,pi0,2.96875,0.18230303030303033,0.366375,0.370625,x
269,pi0,2.96875,0.18445454545454548,0.366375,0.370625,x
270,pi0,2.96875,0.1866060606060606,0.366375,0.370625,x
271,pi0,2.96875,0.18875757575757576,0.366375,0.370625,x
272,pi0,2.96875,0.19090909090909092,0.366375,0.370625,x
273,pi0,2.96875,0.19306060606060607,0.366375,0.370625,x
274,pi0,2.96875,0.19521212121212123,0.366375,0.370625,x
275,pi0,2.96875,0.19736363636363638,0.366375,0.370625,x
276,pi0,2.96875,0.19951515151515153,0.366375,0.370625,x
277,pi0,2.96875,0.2016666666666667,0.366375,0.370625,x
278,pi0,2.96875,0.20381818181818184,0.366375,0.370625,x
279,pi0,2.96875,0.205969696969697,0.366375,0.370625,x
280,pi0,2.96875,0.20812121212121212,0.366375,0.370625,x
281,pi0,2.96875,0.21027272727272728,0.366375,0.370625,x
282,pi0,2.96875,0.21242424242424243,0.366375,0.370625,x
283,pi0,2.96875,0.2145757575757576,0.366375,0.370625,x
284,pi0,2.96875,0.21672727272727274,0.366375,0.370625,x
285,pi0,2.96875,0.2188787878787879,0.366375,0.370625,x
