,hadron,1D_dependence,x,z,phT,QQ,sbar,ubar,dbar,d,u,s
88,k+,x,0.252,0.41,0.357,5.86,0.013637194869472178,0.02337690514159422,0.034747112108999265,0.29997268432666185,0.6425982156376213,0.013637194869472178
89,k+,z,0.085,0.228,0.351,2.46,0.05794435704192595,0.11412631476161243,0.15570982049122667,0.4296006852310019,0.6141563228659381,0.05794435704192595
90,k+,z,0.092,0.287,0.378,2.49,0.055116133023084234,0.1070545491248968,0.14990600659818487,0.43215775764741093,0.6278241527809924,0.055116133023084234
91,k+,z,0.097,0.347,0.403,2.53,0.05319662983066595,0.10214149138851171,0.14575772395248637,0.43334594246163355,0.6368511489152042,0.05319662983066595
92,k+,z,0.101,0.412,0.425,2.56,0.05167107118641505,0.09828703657038328,0.14244203813241174,0.4339431032771085,0.6435775554090378,0.05167107118641505
93,k+,z,0.102,0.482,0.458,2.55,0.05124885861549254,0.09734070160779598,0.14164023250512428,0.4340990489825123,0.6451457501824842,0.05124885861549254
94,k+,z,0.102,0.482,0.458,2.55,0.05124885861549254,0.09734070160779598,0.14164023250512428,0.4340990489825123,0.6451457501824842,0.05124885861549254
95,k+,z,0.104,0.556,0.484,2.54,0.05043833194286685,0.09546421887812902,0.14002851270191308,0.43434132938418984,0.6482566660004483,0.05043833194286685
96,k+,z,0.108,0.645,0.506,2.61,0.04904415000833181,0.09174723224617658,0.13665121203800862,0.4342774816205309,0.6543778575168904,0.04904415000833181
97,k+,z,0.112,0.727,0.506,2.63,0.04756512549225436,0.08817303628744852,0.1333651006477776,0.4340931094575394,0.6600065263611261,0.04756512549225436
98,k+,z,0.116,0.796,0.501,2.62,0.04606389347150436,0.0847148060353014,0.13016167036508797,0.43382874955077344,0.6653263040216214,0.04606389347150436
99,k+,z,0.119,0.903,0.469,2.47,0.04472972266521736,0.08232494910776918,0.12815353164072787,0.43436929168045824,0.6692844564123521,0.04472972266521736
100,k+,phT,0.113,0.362,0.111,2.68,0.0472784340778808,0.08725949728992563,0.13244614379382236,0.4337891083531464,0.6613687250219927,0.0472784340778808
101,k+,phT,0.109,0.372,0.211,2.66,0.04876006150703863,0.09081517244048967,0.1357399723791796,0.43406599482318553,0.6558647603250641,0.04876006150703863
102,k+,phT,0.106,0.377,0.28,2.66,0.04992356868524817,0.0935452636921721,0.13819057104689117,0.4340421605516108,0.6515324493073843,0.04992356868524817
103,k+,phT,0.099,0.381,0.345,2.56,0.05247229453846414,0.10020346626756059,0.14408028311824828,0.43364454474621944,0.6403189770002321,0.05247229453846414
104,k+,phT,0.099,0.381,0.345,2.56,0.05247229453846414,0.10020346626756059,0.14408028311824828,0.43364454474621944,0.6403189770002321,0.05247229453846414
105,k+,phT,0.093,0.387,0.447,2.49,0.05470430182295691,0.10606004184367045,0.1490826378789465,0.4324492653959368,0.6296458241634935,0.05470430182295691
106,k+,phT,0.087,0.402,0.597,2.41,0.0569023289848381,0.11205898728367103,0.15405133002926913,0.4304026799467824,0.6177623121572074,0.0569023289848381
