,Hadron,Dependence,QQ,x,z,phT,A_SIDIS
4,pi-,x,2.33,0.093,0.366,0.354,-0.0077
5,pi-,x,2.86,0.118,0.369,0.348,-0.0063
6,pi-,x,3.66,0.156,0.369,0.342,0.0197
7,pi-,x,5.66,0.253,0.364,0.349,-0.0057
8,pi-,z,2.39,0.084,0.229,0.35,0.0099
9,pi-,z,2.38,0.091,0.289,0.379,0.0133
10,pi-,z,2.36,0.094,0.348,0.403,0.0125
11,pi-,z,2.37,0.097,0.413,0.422,0.01
12,pi-,z,2.35,0.098,0.483,0.437,0.0028
13,pi-,z,2.35,0.098,0.483,0.437,0.0028
14,pi-,z,2.31,0.098,0.558,0.449,-0.0095
15,pi-,z,2.27,0.099,0.646,0.438,0.0112
16,pi-,z,2.19,0.099,0.729,0.416,-0.0286
17,pi-,z,2.15,0.101,0.798,0.389,-0.0424
18,pi-,z,2.08,0.104,0.906,0.338,-0.0395
19,pi-,phT,2.48,0.107,0.337,0.11,0.0085
20,pi-,phT,2.47,0.103,0.345,0.211,0.0157
21,pi-,phT,2.43,0.098,0.35,0.28,0.0103
22,pi-,phT,2.36,0.092,0.349,0.345,0.0014
23,pi-,phT,2.36,0.092,0.349,0.345,0.0014
24,pi-,phT,2.3,0.086,0.347,0.446,-0.001
25,pi-,phT,2.28,0.081,0.359,0.594,0.006
26,pi-,phT,2.26,0.076,0.409,0.846,0.0192
0,k+,x,1.29,0.036,0.363,0.527,0.0527
1,k+,x,1.65,0.056,0.384,0.436,0.0602
2,k+,x,2.01,0.074,0.392,0.398,0.0801
3,k+,x,2.39,0.093,0.401,0.378,0.0715
4,k+,x,2.39,0.093,0.401,0.378,0.0715
5,k+,x,2.93,0.118,0.404,0.366,0.0884
6,k+,x,3.79,0.157,0.408,0.358,0.0773
7,k+,x,5.86,0.252,0.41,0.357,0.0739
8,k+,z,2.46,0.085,0.228,0.351,0.0346
9,k+,z,2.49,0.092,0.287,0.378,0.0261
10,k+,z,2.53,0.097,0.347,0.403,0.0556
11,k+,z,2.56,0.101,0.412,0.425,0.0929
12,k+,z,2.55,0.102,0.482,0.458,0.1104
13,k+,z,2.55,0.102,0.482,0.458,0.1104
14,k+,z,2.54,0.104,0.556,0.484,0.1103
15,k+,z,2.61,0.108,0.645,0.506,0.0944
16,k+,z,2.63,0.112,0.727,0.506,0.129
17,k+,z,2.62,0.116,0.796,0.501,0.1942
18,k+,z,2.47,0.119,0.903,0.469,0.1859
19,k+,phT,2.68,0.113,0.362,0.111,0.028
20,k+,phT,2.66,0.109,0.372,0.211,0.0649
21,k+,phT,2.66,0.106,0.377,0.28,0.0671
22,k+,phT,2.56,0.099,0.381,0.345,0.0807
23,k+,phT,2.56,0.099,0.381,0.345,0.0807
24,k+,phT,2.49,0.093,0.387,0.447,0.0908
25,k+,phT,2.41,0.087,0.402,0.597,0.0857
26,k+,phT,2.29,0.076,0.451,0.867,0.0734
0,k-,x,1.3,0.036,0.338,0.503,-0.0043
1,k-,x,1.67,0.056,0.355,0.417,0.0493
2,k-,x,2.04,0.074,0.361,0.381,0.0565
3,k-,x,2.44,0.093,0.367,0.367,0.0216
4,k-,x,2.44,0.093,0.367,0.367,0.0216
5,k-,x,3.01,0.118,0.366,0.362,0.0357
6,k-,x,3.89,0.157,0.365,0.356,0.0381
7,k-,x,5.82,0.251,0.363,0.364,0.0191
8,k-,z,2.41,0.082,0.227,0.362,0.0007
9,k-,z,2.41,0.087,0.287,0.389,0.0357
10,k-,z,2.4,0.091,0.347,0.419,-0.0098
11,k-,z,2.37,0.092,0.411,0.44,0.0646
12,k-,z,2.29,0.091,0.482,0.46,0.0565
13,k-,z,2.29,0.091,0.482,0.46,0.0565
14,k-,z,2.34,0.093,0.556,0.465,0.063
15,k-,z,2.33,0.094,0.642,0.493,0.0423
16,k-,z,2.28,0.093,0.726,0.5,0.2062
17,k-,z,2.3,0.096,0.793,0.464,0.1303
18,k-,phT,2.47,0.103,0.337,0.111,-0.0011
19,k-,phT,2.48,0.1,0.346,0.21,0.0928
20,k-,phT,2.48,0.096,0.346,0.28,0.005
21,k-,phT,2.39,0.089,0.351,0.345,0.0253
22,k-,phT,2.39,0.089,0.351,0.345,0.0253
23,k-,phT,2.32,0.084,0.348,0.447,0.0269
24,k-,phT,2.31,0.08,0.358,0.597,0.0193
25,k-,phT,2.26,0.073,0.409,0.856,0.0501
